128,Brendel Financial Advisors LLC ,0001768065
129,AEGIS FINANCIAL CORP ,0001140753
130,TB Alternative Assets Ltd. ,0001483503
131,PACIFIC HEIGHTS ASSET MANAGEMENT LLC ,0001323414
132,IDG Technology Venture Investment IV LLC ,0001879976
133,IDG China Venture Capital Fund V Associates L.P. ,0001709671
134,IDG China Venture Capital Fund IV Associates L.P. ,0001609021
135,Northcape Capital Pty Ltd ,0001686776
136,PM CAPITAL Ltd ,0001630363
137,ATTICUS WEALTH MANAGEMENT LLC ,0001800234
138,Mason & Associates Inc ,0001917686
139,RNC CAPITAL MANAGEMENT LLC ,0000051762
140,Trinity Financial Advisors LLC ,0001809574
141,Stephens Consulting LLC ,0001961632
142,PDS Planning Inc ,0000838618
143,Kooman & Associates ,0001961850
144,Telos Capital Management Inc. ,0001567889
145,ROB Exploration LLC ,0001919283
146,Intelligent Financial Strategies ,0001911000
147,BOURGEON CAPITAL MANAGEMENT LLC ,0001088731
148,TKG Advisors LLC ,0001843275
149,Gleason Group Inc. ,0001822632
150,JLB & ASSOCIATES INC ,0001085227
151,Advocacy Wealth Management Services LLC ,0001569452
152,Dorsey Asset Management LLC ,0001671657
153,Tradewinds Capital Management LLC ,0001616026
154,HARVEST MANAGEMENT LLC ,0001140315
155,Dorsey Asset Management LLC ,0001671657
156,Mill Capital Management LLC ,0001901166
157,Allred Capital Management LLC ,0001765885
158,Private Wealth Advisors LLC ,0001787027
159,Spectrum Wealth Advisory Group LLC ,0001776821
160,TOEWS CORP /ADV ,0000932000
161,Newton One Investments LLC ,0001842787
162,VIKING FUND MANAGEMENT LLC ,0001169069
163,OCEAN ARETE LTD ,0001766724
164,Measured Wealth Private Client Group LLC ,0001720235
165,LAZARI CAPITAL MANAGEMENT INC. ,0001986389
166,Value Partners Investments Inc. ,0001800916
167,Kathleen S. Wright Associates Inc. ,0001908433
168,E&G Advisors LP ,0001598550
169,INTERNATIONAL ASSETS INVESTMENT MANAGEMENT LLC ,0001818604
170,COERENTE CAPITAL MANAGEMENT ,0001860790
171,Cardinal Strategic Wealth Guidance ,0001801989
172,Authentikos Wealth Advisory LLC ,0001967054
173,Birchcreek Wealth Management LLC ,0001840341
174,Well Done LLC ,0001667132
175,Benedetti & Gucer Inc. ,0001859474
176,GARLAND CAPITAL MANAGEMENT INC ,0001181544
177,Fusion Family Wealth LLC ,0001696209
178,apricus wealth LLC ,0001913842
179,River Road Asset Management LLC ,0001341401
180,Birch Hill Investment Advisors LLC ,0001424177
181,Holland Advisory Services Inc. ,0001890183
182,BAKER TILLY WEALTH MANAGEMENT LLC ,0001840565
183,North Growth Management Ltd. ,0001745796
184,St. James Investment Company LLC ,0001504492
185,Sendero Wealth Management LLC ,0001639375
186,TLW Wealth Management LLC ,0001767217
187,Scissortail Wealth Management LLC ,0001906793
188,Harrington Investments INC ,0001386364
189,BEACON FINANCIAL GROUP ,0001591379
190,ALTA CAPITAL MANAGEMENT LLC/ ,0001093589
191,OSBORNE PARTNERS CAPITAL MANAGEMENT LLC ,0001005607
192,WESPAC Advisors SoCal LLC ,0001668188
193,Altus Wealth Management LLC ,0001802107
194,Ballew Advisors Inc ,0001729096
195,SkyOak Wealth LLC ,0001800379
196,Cassia Capital Partners LLC ,0001844897
197,FFG RETIREMENT ADVISORS LLC ,0001966438
198,F&V Capital Management LLC ,0001569453
199,MARINO STRAM & ASSOCIATES LLC ,0001099762
200,WENDELL DAVID ASSOCIATES INC ,0000878228
201,DAVENPORT & Co LLC ,0000887777
202,Cannon Global Investment Management LLC ,0001844427
203,Cornerstone Advisory LLC ,0001668189
204,ALM First Financial Advisors LLC ,0001950054
205,Planning Center Inc. ,0001910966
206,Murphy Pohlad Asset Management LLC ,0001569148
207,Johnson Midwest Financial LLC ,0001732399
208,ADVOCATE GROUP LLC ,0001853401
209,KIRR MARBACH & CO LLC /IN/ ,0000764112
210,SHIKIAR ASSET MANAGEMENT INC ,0001058022
211,Rockwood Wealth Management LLC ,0001983670
212,Rockwood Wealth Management LLC ,0001983670
213,William Marsh Rice University ,0001674705
214,Rockwood Wealth Management LLC ,0001983670
215,Rockwood Wealth Management LLC ,0001983670
216,Rockwood Wealth Management LLC ,0001983670
217,Rockwood Wealth Management LLC ,0001983670
218,Rockwood Wealth Management LLC ,0001983670
219,Bensler LLC ,0001965941
220,Crew Capital Management Ltd. ,0001835669
221,Revolve Wealth Partners LLC ,0001808992
222,Derbend Asset Management ,0001874068
223,Boyd Wealth Management LLC ,0001846114
224,Arista Wealth Management LLC ,0001964758
225,SMITHBRIDGE ASSET MANAGEMENT INC/DE ,0001103245
226,Veracity Capital LLC ,0001811005
227,VAUGHAN & Co SECURITIES INC. ,0000805870
228,Timber Creek Capital Management LLC ,0001510848
229,Global Retirement Partners LLC ,0001749744
230,Spinnaker Investment Group LLC ,0001911067
231,Sather Financial Group Inc ,0001568540
232,Clarity Financial LLC ,0001862145
233,REDMONT WEALTH ADVISORS LLC ,0001910482
234,Powers Advisory Group LLC ,0001927474
235,LS Investment Advisors LLC ,0001455845
236,Legacy Advisors LLC ,0001720969
237,Keudell/Morrison Wealth Management ,0001785498
238,Kercheville Advisors LLC ,0001890748
239,JMAC ENTERPRISES LLC ,0001907294
240,HF Advisory Group LLC ,0001963169
241,Greenspring Advisors LLC ,0001922200
242,True Link Financial Advisors LLC ,0001846236
243,Flagship Private Wealth LLC ,0001842560
244,ARGUS INVESTORS' COUNSEL INC. ,0000007195
245,Demars Financial Group LLC ,0001723115
246,Cypress Point Wealth Management LLC ,0001825611
247,Chicago Capital LLC ,0001740053
248,Redwood Wealth Management Group LLC ,0001963839
249,Charter Oak Capital Management LLC ,0001810720
250,BCK Partners Inc. ,0001845867
251,Apeiron RIA LLC ,0001801846
252,ACORN FINANCIAL ADVISORY SERVICES INC /ADV ,0001018561
253,AJ WEALTH STRATEGIES LLC ,0001744073
254,LaFleur & Godfrey LLC ,0001387458
255,Ulland Investment Advisors LLC ,0001911497
256,Aurora Private Wealth Inc. ,0001802132
257,DUNCKER STREETT & CO INC ,0001020585
258,TOWER BRIDGE ADVISORS ,0001278249
259,Investment Research & Advisory Group Inc. ,0001802136
260,Cornell Pochily Investment Advisors Inc. ,0001736260
261,Windward Private Wealth Management Inc. ,0001835866
262,Hoxton Planning & Management LLC ,0001954782
263,Wells Trecaso Financial Group LLC ,0001737987
264,ADE LLC ,0001845950
265,Von Berge Wealth Management Group LLC ,0001908070
266,Courage Miller Partners LLC ,0001482106
267,Seneca House Advisors ,0001731359
268,Guild Investment Management Inc. ,0001317802
269,Clay Northam Wealth Management LLC ,0001915687
270,Cornerstone Wealth Advisors Inc. ,0001862176
271,Baugh & Associates LLC ,0001730818
272,Sabal Trust CO ,0001323276
273,Csenge Advisory Group ,0001715593
274,Tarbox Family Office Inc. ,0001599603
275,HORIZON FINANCIAL SERVICES LLC ,0001674020
276,Parker Financial LLC ,0001965668
277,INSPIRION WEALTH ADVISORS LLC ,0001633448
278,KG&L Capital ManagementLLC ,0001771687
279,Optas LLC ,0001802961
280,PFG Advisors ,0001694435
281,Keystone Wealth Services LLC ,0001866189
282,TIEDEMANN ADVISORS LLC ,0001483232
283,Nvest Financial LLC ,0001915315
284,PCG Wealth Advisors LLC ,0001905393
285,CC Wealth Management LLC ,0001868903
286,Blossom Wealth Management ,0001839735
287,Towerpoint Wealth LLC ,0001731445
288,Clientfirst Wealth Management LLC ,0001915494
289,LOCKERMAN FINANCIAL GROUP INC. ,0001906539
290,Starfox Financial Services LLC ,0001908885
291,Alpha Cubed Investments LLC ,0001580830
292,New England Professional Planning Group Inc. ,0001540867
293,TBH Global Asset Management LLC ,0001787125
294,BLB&B Advisors LLC ,0001389059
295,Uncommon Cents Investing LLC ,0001729754
296,ICICI Prudential Asset Management Co Ltd ,0001697850
297,BEACH INVESTMENT COUNSEL INC/PA ,0001058800
298,SYCOMORE ASSET MANAGEMENT ,0001728681
299,Ironwood Financial llc ,0001630360
300,Successful Portfolios LLC ,0001721780
301,Ariose Capital Management Ltd ,0001665925
302,St. Johns Investment Management Company LLC ,0001605522
303,Windmill Hill Asset Management Ltd ,0001831132
304,LONG WALK MANAGEMENT LP ,0001869470
305,Hiddenite Capital Partners LP ,0001823823
306,TORRAY INVESTMENT PARTNERS LLC ,0000098758
307,Madison Wealth Partners Inc ,0001844424
308,Diversified Investment Strategies LLC ,0001427196
309,McNamara Financial Services Inc. ,0001622431
310,S.A. Mason LLC ,0001800911
311,Naviter Wealth LLC ,0001855567
312,New Harbor Financial Group LLC ,0001548577
313,BAILARD INC. ,0000750641
314,Pacific Sage Partners LLC ,0001936845
315,Amtrust Financial Services Inc. ,0001365555
316,Round Rock Advisors LLC ,0001846991
317,Accenture plc ,0001467373
318,EXCHANGE TRADED CONCEPTS LLC ,0001457320
319,O'Brien Greene & Co. Inc ,0001768635
320,Bank Julius Baer & Co. Ltd Zurich ,0001544599
321,James Hambro & Partners ,0001731152
322,SUMITOMO LIFE INSURANCE CO ,0000937760
